,x,y,z,radian
902,-5.240174672489084,6.417363139636786e-16,1912.0,3.141592653589793
1047,-4.084311947979012,-2.358078602620088,1912.0,3.6651914291880923
1192,-2.292576419213977,-3.970858838312929,1912.0,4.1887902047863905
1337,-8.422789120773283e-16,-4.585152838427949,1912.0,4.71238898038469
1482,2.6855895196506556,-4.6515774963094305,1912.0,5.235987755982989
1627,4.500306683421318,-2.598253275109173,1912.0,5.759586531581287
33,5.327510917030569,0.0,1913.0,0.0
178,4.462488980199291,2.5764192139737987,1913.0,0.5235987755982988
323,2.6200873362445423,4.5381243866433465,1913.0,1.0471975511965976
468,3.315637622145673e-16,5.4148471615720535,1913.0,1.5707963267948966
613,-2.5982532751091694,4.50030668342132,1913.0,2.0943951023931953
758,-4.462488980199291,2.5764192139737987,1913.0,2.6179938779914944
903,-5.502183406113538,6.738231296618626e-16,1913.0,3.141592653589793
1048,-4.878483715641598,-2.816593886462883,1913.0,3.6651914291880923
1193,-2.794759825327514,-4.840666012419569,1913.0,4.1887902047863905
1338,-1.0508432141155236e-15,-5.720524017467249,1913.0,4.71238898038469
1483,3.1004366812227087,-5.3701138575279606,1913.0,5.235987755982989
1628,6.05083251552446,-3.493449781659392,1913.0,5.759586531581287
34,7.292576419213975,0.0,1914.0,0.0
179,5.786108592970268,3.3406113537117905,1914.0,0.5235987755982988
324,3.0349344978165953,5.256660747861877,1914.0,1.0471975511965976
469,3.556288739882052e-16,5.807860262008734,1914.0,1.5707963267948966
614,-3.0786026200873353,5.332296154305934,1914.0,2.0943951023931953
759,-5.181025341417821,2.9912663755458513,1914.0,2.6179938779914944
904,-6.069868995633189,7.433445636745944e-16,1914.0,3.141592653589793
